OBJECTID,CLUSTER_ID,FREQUENCY,MEAN_T,STD_T,MEAN_pm_25,STD_pm_25,MEAN_pm_10,STD_pm_10,MEAN_no_2,STD_no_2,MEAN_o3_s35,STD_o3_s35,MEAN_o3_p932,STD_o3_p932,MEAN_RASTERVALU,STD_RASTERVALU,MEAN_Y_LT15_share,STD_Y_LT15_share,MEAN_Y_1564_share,STD_Y_1564_share,MEAN_Y_GE65_share,STD_Y_GE65_share,MEAN_NAT_share,STD_NAT_share,MEAN_EU_OTH_share,STD_EU_OTH_share,MEAN_OTH_share,STD_OTH_share,MEAN_SAME_share,STD_SAME_share,MEAN_CHG_IN_share,STD_CHG_IN_share,MEAN_CHG_OUT_share,STD_CHG_OUT_share,MEAN_EMP_share,STD_EMP_share,Clusters,PCs,Country,MEAN_pm_25_f,MEAN_pm_10_f,MEAN_no_2_f,MEAN_o3_p932_f,MEAN_Y_LT15_share_f,MEAN_Y_GE65_share_f,MEAN_NAT_share_f,MEAN_EU_OTH_share_f,MEAN_OTH_share_f,MEAN_EMP_share_f,MEAN_pm_25_g,MEAN_pm_10_g,MEAN_no_2_g,MEAN_o3_p932_g,MEAN_Y_LT15_share_g,MEAN_Y_GE65_share_g,MEAN_NAT_share_g,MEAN_EU_OTH_share_g,MEAN_OTH_share_g,MEAN_EMP_share_g,any_5pct_pollution,any_5pct_socio,any_5pct_both_types,hotspot,hotspot_elderly,hotspot_children,hotspot_employment,hotspot_natives,hotspot_foreigners
4,4,16,1507.875,1063.984829,5.1787112,0.509582403,10.70684492,0.819132384,2.320607631,1.831641219,1181.628841,362.7587177,82.11153696,2.836325488,21.625,0.5,15.80193042,2.022494271,60.47155685,3.595946403,23.72651273,5.407548293,92.10798197,4.782845655,1.423016456,0.776262967,6.469001575,4.751223668,93.04110173,2.297890085,6.284398595,2.439830278,0.674499676,0.481784063,79.7635454,5.372977328,7,6,EE,0,0,0,0,0,0,0,0,0,0,,,,,,0.044817226,0.000678663,,,0.006808539,0,0,0,0,0,0,0,0,0
5,5,9,389.8888889,272.2946219,5.581377767,0.494659126,11.07736184,1.192214564,4.863386933,1.470834685,1852.302016,97.71077355,91.03043111,1.113258693,24,4.5,15.96716816,12.76143244,74.01435005,13.43145717,10.01848179,13.73138919,91.56990871,6.254453597,1.577970558,1.897521224,6.852120732,5.328769485,58.7987495,8.585233925,39.04374561,9.383225531,2.157504891,2.914238691,65.74172416,31.55555549,7,6,EE,0,0,0,0,0,0,0,0,1,1,,0.020129645,,0.003638746,,,,,0.059223847,0.204854544,0,1,0,0,0,0,0,0,0
6,6,92,4635.304348,4103.149211,6.56076848,0.359144743,12.57281733,0.751654566,9.442279923,1.654789366,1658.074906,91.81137305,88.59073822,1.249076349,28.48913043,3.316606783,16.16636836,2.924456253,65.74502846,3.737058229,18.08860318,5.274861817,78.10364833,7.396920175,4.242714598,3.557633068,17.65363707,6.814887921,89.70499551,3.198670032,7.559900496,2.340805693,2.735103994,1.895870526,76.77366013,5.571105669,7,6,EE,1,1,1,0,0,0,0,1,1,0,0.115048051,0.095063559,0.276591531,,0.004046452,,,1.415988812,1.57637566,0.031723835,1,1,1,1,0,0,0,0,1
7,7,43,2781.860465,2577.559778,5.610204893,0.547612683,10.78675545,0.972549664,6.547038777,1.974367887,1947.842348,223.8137914,91.9332366,2.054962137,24.23255814,4.07569573,13.38184162,2.052860448,62.73690138,4.587971808,23.881257,4.582120387,66.46290351,7.368339266,1.355535193,1.117192856,32.18156129,7.763049453,94.29612346,1.993304882,4.394955571,1.639943238,1.308920971,0.995064719,70.53153908,7.629218407,7,6,EE,0,0,1,0,0,0,0,0,1,1,0.005164876,,0.200306704,0.009917623,,0.006521998,,,0.822942273,0.123032563,1,1,1,1,0,0,1,0,1
1,1,483,7667.776398,6976.560127,17.78861369,1.65758121,29.2556845,3.082859347,22.51915884,6.225079608,9429.528748,752.8516706,134.7667464,5.838510099,29.08695652,2.664640068,14.56699893,3.483923216,65.21673338,3.451890876,20.21626769,4.607554663,87.21707992,8.570939552,1.939712236,1.047717888,10.84320784,8.354211326,96.70686979,1.532031823,2.713799988,1.141710806,0.579330218,0.933981623,62.47563916,5.654432822,4,7,EL,1,1,1,1,0,1,0,0,1,1,0.102414689,0.240500582,0.464538534,0.097511905,,0.131228217,,,0.472824114,0.057226527,1,1,1,1,1,0,1,0,1
2,2,11,750.9090909,531.0867075,14.93899095,2.707820644,22.28255551,4.318448885,11.4147599,5.219249858,6811.053533,1810.784549,116.821416,11.50190553,21.81818182,2.713602101,10.50420407,17.39293503,87.69352722,17.07504491,1.802268714,1.502896628,30.3947164,26.14502484,4.908001164,4.42542301,64.69728243,26.85065548,54.95090111,15.77324042,16.46205644,18.40251126,28.58704245,22.70072698,2.808445369,3.630748675,4,7,EL,0,0,0,0,0,0,0,1,1,1,,,,,,,,0.643980123,4.966618307,20.04149902,0,1,0,0,0,0,0,0,0
3,3,702,3253.347578,4587.059758,16.13604559,2.242470202,30.66413205,5.843375692,15.37628291,4.162331878,5545.55841,1565.649,104.873559,7.169720108,23.28490028,3.588501995,16.88922234,5.352938488,65.23969967,4.344531144,17.871078,5.814498644,89.72843981,7.288344065,2.985438265,1.559843866,7.286121927,6.84097164,96.75756507,2.284531817,2.798386171,2.03346279,0.444048755,0.930084476,59.09390049,9.037277809,4,7,EL,1,0,1,0,1,0,0,1,0,0,0.080129552,0.048142697,0.347052679,,0.147482713,,0.028794359,0.539114004,,0.009083533,1,1,1,1,0,1,0,0,1
4,4,1113,1353.245283,1997.500641,13.58734055,1.278276049,23.5837733,2.362123293,10.99529277,3.027099411,8696.21059,1289.260433,122.79297,8.764798414,21.8131177,2.179269662,14.71849828,3.747784192,63.56888731,4.881555085,21.71261441,5.42038021,90.9163585,6.243359498,1.721453621,1.280521556,7.36218788,5.914721828,97.02633061,2.168152305,2.617583857,2.018316949,0.356085536,0.672821614,58.56195108,8.09093565,4,7,EL,0,0,0,1,0,1,0,0,0,0,,,,0.051116946,0.010400176,0.074016962,0.013239043,,,0.009083533,1,1,1,1,1,0,0,0,0
1,1,482,2588.514523,2253.820135,5.948667275,0.435254742,10.79051044,0.974323814,9.93547428,1.598565977,1525.631865,204.3879289,87.60162405,1.595718766,28.96887967,2.822737055,15.43720746,4.971898422,65.33742775,5.897581634,19.22536479,5.933391279,92.48205796,3.872809376,2.595587045,1.388674327,4.922354991,2.909492496,84.27251096,5.703719479,15.04775117,5.531344551,0.679737867,0.541313912,68.79750279,6.176195216,6,6,FI,1,1,1,0,0,1,0,0,1,0,0.10757423,0.09879024,0.237610247,,,0.071742315,,0.015703672,0.355911848,0.00029783,1,1,1,1,1,0,0,0,1
2,2,647,921.8284389,661.1365554,4.608759953,0.617101079,7.734184616,1.287686174,6.080527878,2.036455698,1263.463279,241.1274096,85.38907665,2.257778739,21.32457496,0.999875579,18.36240514,6.50594689,62.3894721,5.391183065,19.24812276,7.87978504,96.24804316,2.582186391,1.564521073,1.157023345,2.187435763,1.973984507,87.85911903,4.992936544,11.82914234,4.882053321,0.311738628,0.495242253,68.81799272,7.520370805,6,6,FI,0,0,0,0,0,0,0,0,0,0,,,,,0.049201248,0.001183747,0.001814366,,,0.00029783,0,0,0,0,0,0,0,0,0
3,3,111,1296.801802,1349.590651,5.241644161,0.658203257,8.619678876,1.585096476,6.783418093,2.434932867,1583.637386,255.1297664,88.3848169,2.116810965,23.40540541,3.776430201,17.50131843,10.04336852,70.22806457,8.702323478,12.270617,9.048786389,93.81425171,5.284936928,2.555456986,2.821062046,3.630291305,3.394683932,65.90335926,12.4961323,33.53612305,12.21079605,0.560517694,0.802524344,70.00584258,12.5539384,6,6,FI,0,0,0,0,1,0,0,1,1,0,,,,0.008940392,0.133710127,,,0.307653337,0.469447519,0.017260746,0,1,0,0,0,0,0,0,0
4,4,200,2269.13,2033.426356,5.37089715,0.793489525,9.820355192,1.521388762,7.818935742,3.003941953,1526.511388,300.3750372,87.51111683,3.06862055,25.7,4.324756362,15.38579754,4.776157253,66.67578152,7.7519134,17.93842094,7.845649806,81.01083883,6.166914439,5.870097855,4.11401351,13.11906332,5.707306193,81.95900044,6.187712431,15.82649738,5.666901096,2.214502181,2.631959619,58.44838673,10.53651954,6,6,FI,0,1,0,0,0,0,0,1,1,1,0.004525056,0.06008359,0.045246956,,,,,1.261568483,1.665200568,0.177414751,1,1,1,1,0,0,1,0,1
5,5,699,749.4864092,520.5666554,5.346703018,0.470799977,9.263755504,1.153901351,7.480467365,1.750442322,1806.44787,157.6541849,90.05231566,1.829863808,21.22460658,1.050130819,21.41527276,6.393551756,63.12313532,4.745735535,15.46159192,6.46958031,95.96780869,2.660902381,1.954231227,1.4477219,2.077960081,1.6959812,89.67122753,4.071358333,10.04950024,3.958610841,0.279272233,0.486425765,73.02281413,6.153411565,6,6,FI,0,0,0,0,1,0,0,0,0,0,0.020043111,0.039941229,,0.007340138,0.166256414,,0.022955542,,,0.043095997,0,1,0,0,0,0,0,0,0
6,6,522,1149.739464,959.6676574,5.155412413,0.522590081,8.907960613,1.164537008,8.027950884,1.748085027,1755.129448,203.871544,89.39613569,2.133187173,21.7394636,1.798147399,11.17256417,3.723113544,54.53612775,7.100091029,34.29130807,8.782840194,96.07373022,2.294074446,1.455755345,1.089196289,2.470514434,1.765799565,85.9844887,4.949955741,13.6198454,4.837456541,0.395665899,0.464930166,63.41018395,9.004864987,6,6,FI,0,0,0,0,0,1,0,0,0,1,,,0.026731917,0.011442223,,0.781540387,0.001103719,,,0.085282969,0,1,0,0,0,0,0,0,0
1,1,6913,876.5029654,687.385598,8.845787439,0.916810566,14.43999884,1.252818764,9.823025386,2.729857943,3275.978114,569.9891343,102.4805329,3.532890423,21.31578186,1.261386117,19.25163134,3.942922214,62.7480518,4.325578006,18.00031686,5.254712671,92.20022506,4.1549041,2.735810377,1.792005794,5.063964565,3.236043271,91.0383922,3.011983707,8.76457172,2.974551406,0.197036081,0.324866618,69.39571007,4.812226145,7,6,FR,0,0,0,0,0,0,0,0,0,1,,,,0.002446042,0.043024754,,0.004216993,,,0.054112963,0,1,0,0,0,0,0,0,0
2,2,3934,1148.587189,959.8031151,8.4820986,0.908457523,14.4010196,1.373564027,9.177164453,2.926972929,3256.788076,634.0436646,100.7238603,3.65763921,21.87061515,2.215628968,13.1302171,3.433408479,53.42759814,6.023972822,33.44218477,7.933773849,91.81305008,4.445884748,2.72379705,1.963518913,5.463152873,3.28974285,89.67397082,3.526280898,10.0943862,3.457088537,0.231642981,0.344883914,62.17466673,6.251078529,7,6,FR,0,0,0,0,0,1,0,0,0,1,,,,,,0.360748078,0.024462814,,,0.058844058,0,1,0,0,0,0,0,0,0
3,3,2165,1831.794457,2445.412174,9.388121219,0.951776373,17.64261739,1.727466422,13.98171537,3.873265183,6116.020684,628.4025954,116.6088872,2.344234894,23.01662818,3.505567356,16.05163531,4.092963332,59.37204134,6.185989289,24.57632335,8.358819545,86.0690601,5.790066659,3.615338386,1.860416412,10.31560151,4.926848978,90.04280044,3.594998615,9.657223622,3.511498457,0.29997594,0.395925385,65.8225947,5.503325429,7,6,FR,0,0,1,1,0,1,0,0,1,0,0.019270771,0.003783052,0.100713795,0.127267916,,0.309670616,,0.013341444,0.191506884,0.00016228,1,1,1,1,1,0,0,0,1
4,4,2153,2972.627032,3117.146045,9.210625371,1.125693725,15.21539192,1.474246867,11.51510325,3.537400097,3214.442977,675.6231742,101.7897124,4.1923344,24.63028333,4.172940442,15.46757075,4.935829244,67.09909449,7.400965965,17.43333476,6.745922549,88.62626138,5.826092227,2.716128957,1.639891727,8.657609661,5.115310314,80.28621498,5.553022278,18.96474088,5.339724233,0.749044132,0.873972899,62.71187753,8.43864263,7,6,FR,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0.049773648,0,0,0,0,0,0,0,0,0
5,5,1858,3812.396663,3413.484523,9.872712471,1.34749903,16.05747865,2.089693257,14.76032616,4.564391606,3105.228466,839.087331,102.2304729,4.663001054,26.00753498,4.260366654,22.25745927,4.371347374,61.77921627,5.147098262,15.96332446,5.469488065,74.30719508,9.154845776,3.567739586,1.965353879,22.12506533,8.685286535,90.53890246,3.370718947,8.96838825,3.204134878,0.492709294,0.528704421,53.05483165,8.558692611,7,6,FR,1,1,1,0,1,0,0,1,1,1,0.05161749,0.055344399,0.055687787,,0.156133674,,,0.198972246,0.300028197,0.240853554,1,1,1,1,0,1,1,0,1
6,6,4329,3108.70201,4628.706057,11.08932688,0.752878625,17.57612599,1.205017986,14.78000347,4.511888858,2572.245938,369.0003298,98.65770369,3.644745693,25.26241626,4.369960661,18.45750186,3.225240809,62.77722766,4.106865603,18.76527048,5.128608691,89.62067615,7.552707857,2.975664864,2.076913344,7.403658983,6.240356417,90.6426843,2.935566192,9.033006202,2.805968301,0.324309497,0.426507455,65.83327642,6.793580634,7,6,FR,1,1,0,0,0,0,0,0,0,0,0.123230006,0.094575704,0.001333122,,0.031383503,0.042496675,0.011220317,,,0.00016228,1,0,0,1,0,0,0,0,0
7,7,470,1289.895745,1404.279007,8.614955624,1.239131556,14.3684975,1.865077215,12.70240768,3.272780815,3254.434418,988.7631597,103.4438092,5.621578025,22.34042553,2.932623615,17.89586687,4.798968105,64.38046854,5.636800117,17.72366459,6.680969692,69.35140779,12.18909036,13.62968032,7.611312988,17.01891189,12.21100134,88.1191995,5.811275323,9.520926136,4.582810647,2.359874366,2.321543361,69.67303747,10.58578439,7,6,FR,0,0,0,0,0,0,0,1,1,0,,,,0.009399603,,,,2.769959785,0.64982254,0.003996319,0,1,0,0,0,0,0,0,0
1,1,279,1171,1089.398884,18.13331576,3.117364523,25.45362385,2.693663097,13.06055246,2.406970671,5070.956282,311.8404879,109.1092178,1.956947723,21.40501792,1.130405439,15.21644968,3.377429603,63.7583132,3.799534558,21.02523712,5.425153791,76.39757939,8.010410385,1.599736947,0.900694866,22.00268367,7.797662197,98.00510106,1.02646482,1.364727259,0.809672312,0.630171682,0.502973536,62.65857585,6.759396465,5,7,HR,1,0,0,0,0,0,0,0,1,1,0.049900468,0.013170397,0.033635071,,,,,,0.768368972,0.120495364,1,1,1,1,0,0,1,0,1
2,2,192,1397.901042,1584.971563,8.835081679,1.303405572,16.20930846,1.867390874,12.10709681,2.716623003,6067.993464,389.1548748,114.3672009,2.487146404,22.71354167,3.348239196,12.812507,2.843801043,61.4956665,4.361477864,25.6918265,5.825653972,85.18668208,5.327355046,2.370957748,1.333174798,12.44236017,5.130640316,97.87642281,1.027334202,1.58362338,0.968989599,0.539953813,0.470949653,71.51866366,5.397869329,5,7,HR,0,0,0,0,0,1,0,1,1,0,,,,0.027878275,,0.196815116,,0.308466019,0.071286465,0.018658955,0,1,0,0,0,0,0,0,0
3,3,554,1006.274368,973.5347912,16.0699579,2.398417449,22.21981932,2.34527143,12.63555467,2.177348759,4907.929582,354.2742123,109.0522485,2.132188491,21.21299639,0.409795137,14.51345416,2.511855688,64.01971596,3.136205191,21.46682988,3.985024534,92.09346268,4.075851391,1.601848661,0.966369587,6.304688658,3.911014951,98.21098339,0.894593433,1.352570033,0.778866995,0.436446573,0.48498982,66.99546394,5.838449708,5,7,HR,0,0,0,0,0,0,1,0,0,0,,,,,,0.021002986,0.060105089,,,0.047961155,0,1,0,0,0,0,0,0,0
4,4,215,4472.195349,3655.582516,17.27146174,1.861320917,25.12274729,1.856035385,16.77291841,3.21885196,5134.06044,335.9788098,111.2653158,1.147460758,28.34418605,3.42512039,16.07971797,4.422562701,63.54698121,4.569405394,20.37330082,5.649848514,86.87201262,4.851907007,1.68525273,0.588438479,11.44273465,4.684282521,98.31718849,0.723388947,1.183374678,0.632886276,0.499436828,0.310694283,70.20864375,7.796687395,5,7,HR,1,1,1,0,0,0,0,0,0,0,0.074767081,0.130578515,0.284242643,0.005831117,0.00239627,,0.003447193,,,0.016458475,1,1,1,1,0,1,0,0,0
5,5,150,838.9666667,763.2126677,15.26679811,2.993625576,22.2211434,3.343615096,12.22900419,2.376376986,5147.544372,403.6983687,110.6202761,2.096942751,21.36,1.47133688,16.04127874,3.291584995,64.06862483,4.449138726,19.89009643,6.243018041,86.57357681,6.444542951,1.812013238,1.138049955,11.61440995,6.348447405,94.99302527,2.033824987,4.38495997,1.735825047,0.622014762,0.840945835,69.07182684,6.095279277,5,7,HR,0,0,0,0,1,0,0,1,0,0,,,,,0.054206406,,,0.075217506,,0.016458475,0,1,0,0,0,0,0,0,0
1,1,23,1342.304348,1662.100518,14.62495223,1.623533044,21.84603865,2.342465319,14.25702741,2.968056969,4876.046334,421.737013,114.9091541,3.501650726,24.56521739,4.460188408,6.317069231,4.49791876,84.50438057,10.90703884,9.178550202,8.888705195,71.22914816,26.3471049,24.79239953,26.06420619,3.978452308,3.655632123,83.9202485,6.987513596,10.58338945,6.467888965,5.496362047,4.565701741,50.06068808,32.7386223,5,6,HU,0,0,0,0,0,0,0,1,1,1,,,0.003760872,0.000763984,,,,5.18933797,0.368030937,0.548065032,0,1,0,0,0,0,0,0,0
2,2,552,3979.507246,3606.525443,15.20638138,0.754177448,22.97693012,1.204770633,21.78863,3.938110808,4956.601977,145.6752271,117.5844783,1.647376962,28.39311594,3.345146779,13.9656983,3.153465748,65.5227898,4.699859395,20.5115119,4.209013506,91.40736905,4.433430172,4.005662585,3.032264906,4.586968367,2.646330645,92.84061709,3.654288618,6.727641472,3.477298292,0.431741436,0.543622317,79.50107406,3.951853141,5,6,HU,0,1,1,0,0,1,0,1,1,0,0.039755969,0.051766432,0.528272997,0.02328208,,0.161650101,,1.379363122,0.152952961,0.025857365,1,1,1,1,1,0,0,0,1
3,3,1144,1698.106643,1655.993426,13.52831135,1.019417715,19.77005602,1.554622669,13.34165889,2.304831744,4573.676917,275.3344284,110.4117851,3.018450204,22.01748252,2.240885173,12.97852967,2.512609474,62.53925463,4.934712553,24.4822157,5.785275204,95.77179202,2.523462568,1.669803409,1.607578742,2.558404574,1.593292675,93.56572006,2.384561354,6.15292923,2.311955154,0.281350712,0.415437521,77.49720068,5.746347404,5,6,HU,0,0,0,0,0,1,0,0,0,0,,,,,,0.19358416,0.00147843,,,0.030746161,0,1,0,0,0,0,0,0,0
4,4,1365,997.7435897,726.6335446,13.63823619,0.804162349,20.48653351,1.269960687,14.20360946,2.832939687,4886.478148,231.1498903,114.8214324,2.641189795,21.3992674,1.183773252,17.78385604,4.132228109,65.98742928,3.352528219,16.22871468,4.613047545,95.63040911,2.580601581,1.461431291,1.305385663,2.908159603,1.900795903,93.94601695,2.573128295,5.880763632,2.515314675,0.173219422,0.311507841,75.18553415,6.990565653,5,6,HU,0,0,0,0,1,0,0,0,0,0,,,,,0.063620526,,,,,0.030746161,0,1,0,0,0,0,0,0,0
5,5,528,1388.416667,1489.620617,17.23767782,2.180496491,24.84533185,2.709625814,13.73412059,1.92576207,3971.339662,340.9200071,108.4452862,2.925868548,22.27272727,2.850056517,16.72011361,5.048843851,65.62266596,3.652052683,17.65722043,5.736813285,96.91835404,2.197519714,1.683502004,1.841788624,1.398143958,0.907008845,94.25073,2.128890863,5.587197615,2.043831912,0.162072384,0.297077018,70.32949264,9.277930822,5,6,HU,1,1,0,0,1,0,0,0,0,1,0.133581843,0.081316421,,,0.197227181,,0.011971813,,,0.101916106,1,1,1,1,0,1,1,0,0
